lemme;upos;freqlemfilms;freqlemlivres
salle;NOM;116,91;215,81
inviter;VER;116,83;82,30
effet;NOM;116,75;192,36
réfléchir;VER;116,71;89,05
espèce;NOM;116,51;141,69
arranger;VER;116,14;75,81
naître;VER;116,11;119,32
allô;ONO;116,05;14,32
passé;ADJ;115,89;58,58
bois;NOM;115,56;299,46
propos;NOM;115,21;106,28
camp;NOM;114,93;97,23
sorte;NOM;114,73;307,16
hôtel;NOM;114,67;158,92
début;NOM;114,31;141,49
souffrir;VER;113,83;119,26
jambe;NOM;113,82;220,95
remercier;VER;113,70;54,46
choix;NOM;113,35;51,42
sécurité;NOM;113,17;39,12
baiser;VER;112,82;44,12
avocat;NOM;112,69;37,64
attraper;VER;112,52;55,34
client;NOM;112,12;81,55
courant;NOM;111,58;79,73
dépêcher;VER;111,44;22,84
peuple;NOM;111,36;107,30
dame;NOM;111,20;151,35
dessus;ADV;111,19;57,57
abandonner;VER;110,87;128,45
vérifier;VER;110,87;40,27
journal;NOM;110,80;197,70
sérieux;ADJ;110,48;66,01
brûler;VER;110,28;104,73
or;NOM;110,28;130,00
loi;NOM;110,12;72,30
fond;NOM;110,07;376,15
gosse;NOM;109,96;61,76
fric;NOM;109,01;26,42
situation;NOM;108,99;104,86
euh;ONO;108,86;15,47
sauf;PRE;108,54;83,99
accident;NOM;108,21;44,80
doute;NOM;108,18;350,07
scène;NOM;107,96;114,93
soldat;NOM;107,92;128,92
amoureux;ADJ;107,79;58,45
assurer;VER;107,71;126,55
preuve;NOM;107,54;65,34
humain;ADJ;107,10;111,55
mer;NOM;106,61;257,57
bien;NOM;106,60;70,20
silence;NOM;106,43;325,54
télé;NOM;106,42;26,15
victime;NOM;106,25;46,22
complètement;ADV;105,33;81,49
pute;NOM;105,25;20,27
calme;NOM;105,20;53,24
derrière;PRE;105,10;349,39
garde;NOM;104,47;112,09
meurtre;NOM;104,45;15,47
groupe;NOM;104,38;122,50
crime;NOM;104,07;45,07
traiter;VER;104,04;69,93
doucement;ADV;103,81;128,38
blesser;VER;103,74;43,31
colonel;NOM;103,70;47,03
certain;ADJ;103,57;182,64
certain;ADJ:ind;103,57;182,64
secret;NOM;103,49;96,01
parole;NOM;103,48;178,31
triste;ADJ;103,44;105,61
honte;NOM;103,40;83,45
rouge;ADJ;102,93;273,24
dégager;VER;102,47;58,04
seul;NOM;102,45;75,07
soirée;NOM;102,37;76,69
bon;NOM;102,33;70,95
dangereux;ADJ;101,84;47,57
armée;NOM;101,07;146,55
filer;VER;100,97;88,51
être;NOM;100,69;122,57
risquer;VER;100,40;99,32
dos;NOM;100,34;213,99
appel;NOM;100,18;73,45
visite;NOM;99,95;99,32
mener;VER;99,86;137,70
fleur;NOM;99,75;164,39
attaquer;VER;99,63;70,41
coin;NOM;99,51;199,26
prince;NOM;98,90;101,22
pire;ADJ;98,83;57,70
bordel;NOM;98,77;21,89
professeur;NOM;98,55;63,92
fumer;VER;98,49;84,39
répéter;VER;98,31;200,14
habitude;NOM;98,22;154,46
signer;VER;98,19;55,81
ficher;VER;97,84;29,32
mériter;VER;97,06;54,53
réponse;NOM;97,06;99,93
rejoindre;VER;96,98;134,80
discuter;VER;96,42;58,65
village;NOM;95,82;143,99
pourtant;ADV;95,80;375,68
avancer;VER;95,62;195,00
connerie;NOM;95,42;29,73
fort;ADJ;95,28;140,27
reposer;VER;95,20;83,92
échapper;VER;95,07;132,64
forme;NOM;94,19;176,69
fou;NOM;94,17;55,81
bruit;NOM;94,13;281,49
chacun;PRO:ind;93,61;187,84
diable;NOM;93,34;54,80
exemple;NOM;93,20;126,62
charger;VER;93,02;122,16
chat;NOM;93,00;130,74
ennemi;NOM;92,37;111,96
grand;NOM;92,25;127,64
gamin;NOM;92,22;38,78
rendez-vous;NOM;91,95;53,72
debout;ADV;91,81;158,85
obliger;VER;91,63;107,57
meilleur;NOM;91,02;38,58
trou;NOM;90,72;108,38
idiot;NOM;90,57;22,03
accompagner;VER;90,56;124,46
fenêtre;NOM;90,55;280,20
oser;VER;90,20;155,54
impression;NOM;90,19;155,27
intérieur;NOM;90,11;135,88
bouche;NOM;90,03;283,45
ligne;NOM;89,83;162,30
absolument;ADV;89,79;63,45
mort;ADJ;89,29;113,18
doux;ADJ;89,14;145,07
plein;PRE;89,11;52,77
regretter;VER;89,11;75,88
mur;NOM;88,93;317,77
enfer;NOM;88,86;41,35
prouver;VER;88,83;52,43
boîte;NOM;88,81;134,05
santé;NOM;88,69;52,70
t;PRO:per;88,47;4,53
dîner;NOM;88,45;68,58
couvrir;VER;88,29;133,51
magnifique;ADJ;88,22;27,70
obtenir;VER;88,08;80,95
cuisine;NOM;87,92;135,41
vue;NOM;87,84;144,39
terrible;ADJ;87,66;88,11
peau;NOM;87,47;187,77
éviter;VER;87,47;110,47
salaud;NOM;87,40;37,84
conseil;NOM;87,14;84,46
plaisanter;VER;87,13;27,43
autour;ADV;87,02;361,55
vin;NOM;86,86;110,47
exact;ADJ;86,80;38,58
virer;VER;86,30;37,84
supporter;VER;86,04;81,22
régler;VER;85,81;54,19
doigt;NOM;85,69;256,15
grâce;PRE;85,61;78,85
étrange;ADJ;85,61;103,58
souhaiter;VER;85,59;82,16
bas;ADJ;85,56;187,09
mission;NOM;85,24;48,45
créer;VER;85,17;54,80
chanson;NOM;84,92;46,55
pote;NOM;84,92;36,35
surveiller;VER;84,82;54,39
simplement;ADV;84,76;134,32
recommencer;VER;84,69;83,31
robe;NOM;84,43;148,18
chaud;ADJ;84,16;113,31
billet;NOM;83,87;63,58
spécial;ADJ;83,73;31,22
moyen;NOM;83,47;107,03
sympa;ADJ;83,39;7,77
vaisseau;NOM;83,39;12,43
moi-même;PRO:per;83,25;107,30
coûter;VER;83,15;48,11
surprise;NOM;82,94;77,16
poste;NOM;82,87;90,68
compris;ADJ;82,84;11,01
anniversaire;NOM;82,79;12,97
signe;NOM;82,73;161,28
vol;NOM;82,42;48,31
couleur;NOM;82,25;198,72
image;NOM;82,13;188,92
parier;VER;81,96;15,61
est;NOM;81,74;49,73
arbre;NOM;81,69;208,58
bière;NOM;81,67;38,11
mme;NOM;81,64;33,24
