lemme;genre;freq
enterrement;m;21,22
ficelle;f;21,22
soulagement;m;21,22
portefeuille;m;21,15
moeurs;f;21,08
serpent;m;21,08
torse;m;21,08
bijoux;m;21,01
boeuf;m;21,01
jouet;m;21,01
mélancolie;f;21,01
noce;f;21,01
charrette;f;20,95
hurlement;m;20,95
jet;m;20,95
allumette;f;20,88
muraille;f;20,88
tendance;f;20,88
vedette;f;20,88
commentaire;m;20,81
loisir;m;20,81
nuance;f;20,81
rampe;f;20,81
ronde;f;20,81
sport;m;20,81
timbre;m;20,81
réussite;f;20,74
conclusion;f;20,68
falaise;f;20,68
royaume;m;20,68
abîme;m;20,61
borne;f;20,61
chèvre;f;20,61
confusion;f;20,61
couronne;f;20,61
guise;f;20,61
propriété;f;20,61
révélation;f;20,61
tentation;f;20,61
tuyau;m;20,61
politesse;f;20,54
ressort;m;20,54
salope;f;20,54
